head_entity,head_type,relation,tail_entity,tail_type,support_count,paper_count,papers,example_sentence
DSP,OtherScientificTerm,USED-FOR,real-time VC,Method,2,1,INTERSPEECH_2013_31_abs,In this paper we further implement real-time VC on a DSP .
method,Generic,USED-FOR,paraphrase,OtherScientificTerm,2,1,I05-5008,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
system,Generic,USED-FOR,subcategorization dictionary,OtherScientificTerm,2,1,A97-1052,We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .
paraphrases,OtherScientificTerm,COMPARE,hand-produced sets,OtherScientificTerm,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
tracker,Generic,COMPARE,trackers,Generic,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
BLEU,Metric,CONJUNCTION,NIST,Metric,1,1,I05-5008,We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
computational cost,Metric,CONJUNCTION,conversion accuracy,Metric,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
equivalence in meaning,Metric,CONJUNCTION,grammaticality,Metric,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
internal lexical and syntactical variation,Metric,CONJUNCTION,equivalence in meaning,Metric,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
meaning equivalence,Method,CONJUNCTION,entailment,Method,1,1,I05-5008,"We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
nouns,OtherScientificTerm,CONJUNCTION,reflexive pronouns,OtherScientificTerm,1,1,J87-1003,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
one,Generic,CONJUNCTION,other,Generic,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
over copying,OtherScientificTerm,CONJUNCTION,early copying,OtherScientificTerm,1,1,C92-2068,The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
self-occlusion,OtherScientificTerm,CONJUNCTION,inter-frame lip motion,OtherScientificTerm,1,1,CVPR_2003_18_abs,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
silent speech enhancement,Task,CONJUNCTION,electrolaryngeal speech enhancement,Task,1,1,INTERSPEECH_2013_31_abs,"In this paper , we present a digital signal processor -LRB- DSP -RRB- implementation of real-time statistical voice conversion -LRB- VC -RRB- for silent speech enhancement and electrolaryngeal speech enhancement ."
tutorial dialogue,Material,CONJUNCTION,on-line communities,Material,1,1,N06-4001,"As evidence of its usefulness and usability , it has been used successfully in a research context to uncover relationships between language and behavioral patterns in two distinct domains : tutorial dialogue -LRB- Kumar et al. , submitted -RRB- and on-line communities -LRB- Arguello et al. , 2006 -RRB- ."
accuracy,Metric,EVALUATE-FOR,parser,Method,1,1,A97-1052,We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount
computational cost,Metric,EVALUATE-FOR,methods,Generic,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
conversion accuracy,Metric,EVALUATE-FOR,methods,Generic,1,1,INTERSPEECH_2013_31_abs,"To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
multiple standard datasets,Generic,EVALUATE-FOR,method,Generic,1,1,ICCV_2013_36_abs,Promising results for multiple standard datasets -- in particular for the different building styles they contain -- demonstrate the potential of the method .
parser,Method,EVALUATE-FOR,subcategorization dictionary,OtherScientificTerm,1,1,A97-1052,We also demonstrate that a subcategorization dictionary built with the system improves the accuracy of a parser by an appreciable amount
sound quality,Metric,EVALUATE-FOR,NAM and electrolaryngeal speech,Material,1,1,INTERSPEECH_2013_31_abs,"However , the sound quality of NAM and electrolaryngeal speech suffers from lack of naturalness ."
grammatical gender,OtherScientificTerm,FEATURE-OF,languages,Material,1,1,J87-1003,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
