source,target,relation,support_count,paper_count,papers,width,color,title
eb27a3d718a7,03a405a863b6,USED-FOR,2,1,INTERSPEECH_2013_31_abs,3.197,#4C78A8,DSP --USED-FOR--> real-time VC<br>support_count=2<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=In this paper we further implement real-time VC on a DSP .
63b63813de30,f4b11679df3e,USED-FOR,2,1,I05-5008,3.197,#4C78A8,method --USED-FOR--> paraphrase<br>support_count=2<br>paper_count=1<br>papers=I05-5008<br>example=We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
5be384a33503,41116e29f265,USED-FOR,2,1,A97-1052,3.197,#4C78A8,system --USED-FOR--> subcategorization dictionary<br>support_count=2<br>paper_count=1<br>papers=A97-1052<br>example=We describe a novel technique and implemented system for constructing a subcategorization dictionary from textual corpora .
58df2a30e2cb,83c4527bc21b,COMPARE,1,1,I05-5008,2.386,#B279A2,"paraphrases --COMPARE--> hand-produced sets<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
8177f96b7c1b,5f09916863c6,COMPARE,1,1,CVPR_2003_18_abs,2.386,#B279A2,tracker --COMPARE--> trackers<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
e539b76849f0,266854221e7e,CONJUNCTION,1,1,I05-5008,2.386,#72B7B2,BLEU --CONJUNCTION--> NIST<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We propose a method that automatically generates paraphrase sets from seed sentences to be used as reference sets in objective machine translation evaluation measures like BLEU and NIST .
5ed51c4ec8c4,ed5938cc654a,CONJUNCTION,1,1,INTERSPEECH_2013_31_abs,2.386,#72B7B2,"computational cost --CONJUNCTION--> conversion accuracy<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
5d5ebc8dcecf,db0f5692aa33,CONJUNCTION,1,1,I05-5008,2.386,#72B7B2,"equivalence in meaning --CONJUNCTION--> grammaticality<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
f80e448bc8f2,5d5ebc8dcecf,CONJUNCTION,1,1,I05-5008,2.386,#72B7B2,"internal lexical and syntactical variation --CONJUNCTION--> equivalence in meaning<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
db31d38471d2,3b7adbef408f,CONJUNCTION,1,1,I05-5008,2.386,#72B7B2,"meaning equivalence --CONJUNCTION--> entailment<br>support_count=1<br>paper_count=1<br>papers=I05-5008<br>example=We measured the quality of the paraphrases produced in an experiment , i.e. , -LRB- i -RRB- their grammaticality : at least 99 % correct sentences ; -LRB- ii -RRB- their equivalence in meaning : at least 96 % correct paraphrases either by meaning equivalence or entailment ; and , -LRB- iii -RRB- the amount of internal lexical and syntactical variation in a set of paraphrases : slightly superior to that of hand-produced sets ."
6322ee75889a,99e2125ea561,CONJUNCTION,1,1,J87-1003,2.386,#72B7B2,"nouns --CONJUNCTION--> reflexive pronouns<br>support_count=1<br>paper_count=1<br>papers=J87-1003<br>example=The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary ."
2eb246d30d63,84917f0d5123,CONJUNCTION,1,1,INTERSPEECH_2013_31_abs,2.386,#72B7B2,"one --CONJUNCTION--> other<br>support_count=1<br>paper_count=1<br>papers=INTERSPEECH_2013_31_abs<br>example=To implement the two speech enhancement systems based on real-time VC , one from NAM to a whispered voice and the other from electrolaryngeal speech to a natural voice , we propose several methods for reducing computational cost while preserving conversion accuracy ."
86604c489be6,8623aebe02d9,CONJUNCTION,1,1,C92-2068,2.386,#72B7B2,over copying --CONJUNCTION--> early copying<br>support_count=1<br>paper_count=1<br>papers=C92-2068<br>example=The proposed scheme eliminates redundant copying while maintaining the quasi-destructive scheme 's ability to avoid over copying and early copying combined with its ability to handle cyclic structures without algorithmic additions .
f84d6b442627,e663cf40826c,CONJUNCTION,1,1,CVPR_2003_18_abs,2.386,#72B7B2,self-occlusion --CONJUNCTION--> inter-frame lip motion<br>support_count=1<br>paper_count=1<br>papers=CVPR_2003_18_abs<br>example=Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .
