paper_id,sentence_id,sentence_text,head_start,head_end,head_entity,head_type,relation,tail_start,tail_end,tail_entity,tail_type,confidence
J87-1003,1,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",29,29,nouns,OtherScientificTerm,CONJUNCTION,31,32,reflexive pronouns,OtherScientificTerm,
J87-1003,1,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",48,49,grammatical gender,OtherScientificTerm,FEATURE-OF,51,51,languages,Material,
J87-1003,1,"The agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in English , like grammatical gender in languages such as French , is partly arbitrary .",54,54,French,Material,HYPONYM-OF,51,51,languages,Material,
CVPR_2003_18_abs,0,"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed .",6,6,method,Method,USED-FOR,10,12,intrinsic object structure,OtherScientificTerm,
CVPR_2003_18_abs,0,"In this paper , a novel method to learn the intrinsic object structure for robust visual tracking is proposed .",10,12,intrinsic object structure,OtherScientificTerm,USED-FOR,14,16,robust visual tracking,Task,
CVPR_2003_18_abs,1,The basic assumption is that the parameterized object state lies on a low dimensional manifold and can be learned from training data .,32,34,low dimensional manifold,OtherScientificTerm,FEATURE-OF,26,28,parameterized object state,OtherScientificTerm,
CVPR_2003_18_abs,2,"Based on this assumption , firstly we derived the dimensionality reduction and density estimation algorithm for unsupervised learning of object intrinsic representation , the obtained non-rigid part of object state reduces even to 2 dimensions .",52,57,dimensionality reduction and density estimation algorithm,Method,USED-FOR,59,64,unsupervised learning of object intrinsic representation,Task,
CVPR_2003_18_abs,3,Secondly the dynamical model is derived and trained based on this intrinsic representation .,90,91,intrinsic representation,Method,USED-FOR,81,82,dynamical model,Method,
CVPR_2003_18_abs,4,Thirdly the learned intrinsic object structure is integrated into a particle-filter style tracker .,96,98,intrinsic object structure,OtherScientificTerm,PART-OF,103,105,particle-filter style tracker,Method,
CVPR_2003_18_abs,5,We will show that this intrinsic object representation has some interesting properties and based on which the newly derived dynamical model makes particle-filter style tracker more robust and reliable .,126,127,dynamical model,Method,USED-FOR,129,131,particle-filter style tracker,Method,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,142,142,tracker,Generic,COMPARE,148,148,trackers,Generic,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,142,142,tracker,Generic,USED-FOR,151,155,tracking of complex non-rigid motions,Task,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,148,148,trackers,Generic,USED-FOR,151,155,tracking of complex non-rigid motions,Task,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,158,159,fish twisting,OtherScientificTerm,HYPONYM-OF,153,155,complex non-rigid motions,OtherScientificTerm,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,161,161,self-occlusion,OtherScientificTerm,FEATURE-OF,158,159,fish twisting,OtherScientificTerm,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,161,161,self-occlusion,OtherScientificTerm,CONJUNCTION,164,166,inter-frame lip motion,OtherScientificTerm,
CVPR_2003_18_abs,6,Experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .,164,166,inter-frame lip motion,OtherScientificTerm,FEATURE-OF,158,159,fish twisting,OtherScientificTerm,
CVPR_2003_18_abs,7,The proposed method also has the potential to solve other type of tracking problems .,170,170,method,Generic,USED-FOR,180,181,tracking problems,Task,
